SRR_Accession,Species,Species_ID,Mapped_Tissue
SRR1197748,Plutella xylostella,Pxyl,Adult_Brain
SRR12458349,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458350,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458352,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458353,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458354,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458355,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458356,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458357,Plutella xylostella,Pxyl,Larval_Midgut
SRR12458358,Plutella xylostella,Pxyl,Larval_Midgut
SRR31065455,Plutella xylostella,Pxyl,Adult_Testis
SRR31065456,Plutella xylostella,Pxyl,Adult_Testis
SRR31065457,Plutella xylostella,Pxyl,Adult_Testis
SRR31065458,Plutella xylostella,Pxyl,Adult_Testis
SRR31065459,Plutella xylostella,Pxyl,Adult_Testis
SRR31065460,Plutella xylostella,Pxyl,Adult_Testis
SRR31802350,Plutella xylostella,Pxyl,Larval_Carcass
SRR31802568,Plutella xylostella,Pxyl,Larval_Carcass
SRR31802569,Plutella xylostella,Pxyl,Larval_Carcass
SRR31802861,Plutella xylostella,Pxyl,Larval_Carcass
SRR31802862,Plutella xylostella,Pxyl,Larval_Carcass
SRR31802863,Plutella xylostella,Pxyl,Larval_Carcass
SRR353499,Plutella xylostella,Pxyl,Larval_Midgut
SRR835316,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678034,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678037,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678038,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678039,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678041,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678042,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678046,Plutella xylostella,Pxyl,Larval_Midgut
SRR9678047,Plutella xylostella,Pxyl,Larval_Midgut
DRR161949,Acyrthosiphon pisum,Apis,Adult_FatBody
DRR161950,Acyrthosiphon pisum,Apis,Adult_FatBody
DRR161951,Acyrthosiphon pisum,Apis,Adult_Midgut
DRR161952,Acyrthosiphon pisum,Apis,Adult_Carcass
SRR10761677,Locusta migratoria,Lmig,Adult_Brain
SRR14087031,Locusta migratoria,Lmig,Adult_Brain
SRR16556341,Locusta migratoria,Lmig,Adult_FatBody
SRR16889189,Locusta migratoria,Lmig,Adult_Brain
SRR1732479,Locusta migratoria,Lmig,Adult_Testis
SRR1732480,Locusta migratoria,Lmig,Adult_Testis
SRR1804748,Locusta migratoria,Lmig,Adult_Brain
SRR18313660,Locusta migratoria,Lmig,Adult_Head
SRR20958241,Locusta migratoria,Lmig,Adult_Brain
SRR20958243,Locusta migratoria,Lmig,Adult_Brain
SRR20958244,Locusta migratoria,Lmig,Adult_Brain
SRR20958246,Locusta migratoria,Lmig,Adult_Brain
SRR22110767,Locusta migratoria,Lmig,Adult_Ovary
SRR22110769,Locusta migratoria,Lmig,Adult_Brain
SRR22110770,Locusta migratoria,Lmig,Adult_Ovary
SRR22110771,Locusta migratoria,Lmig,Adult_Carcass
SRR22110772,Locusta migratoria,Lmig,Adult_Ovary
SRR22110776,Locusta migratoria,Lmig,Adult_Brain
SRR22110777,Locusta migratoria,Lmig,Adult_Testis
SRR22110779,Locusta migratoria,Lmig,Adult_Brain
SRR22110780,Locusta migratoria,Lmig,Adult_Testis
SRR22110783,Locusta migratoria,Lmig,Adult_Testis
SRR22110785,Locusta migratoria,Lmig,Adult_Brain
SRR22110787,Locusta migratoria,Lmig,Adult_Carcass
SRR24653471,Locusta migratoria,Lmig,Adult_Head
SRR27291400,Locusta migratoria,Lmig,Adult_FatBody
SRR27291401,Locusta migratoria,Lmig,Adult_FatBody
SRR27291402,Locusta migratoria,Lmig,Adult_FatBody
SRR27291403,Locusta migratoria,Lmig,Adult_FatBody
SRR27291404,Locusta migratoria,Lmig,Adult_FatBody
SRR27291405,Locusta migratoria,Lmig,Adult_FatBody
SRR27291407,Locusta migratoria,Lmig,Adult_FatBody
SRR27291408,Locusta migratoria,Lmig,Adult_FatBody
SRR27291409,Locusta migratoria,Lmig,Adult_FatBody
SRR27291410,Locusta migratoria,Lmig,Adult_FatBody
SRR27291411,Locusta migratoria,Lmig,Adult_FatBody
SRR27291412,Locusta migratoria,Lmig,Adult_FatBody
SRR27291413,Locusta migratoria,Lmig,Adult_FatBody
SRR27291414,Locusta migratoria,Lmig,Adult_FatBody
SRR27291415,Locusta migratoria,Lmig,Adult_FatBody
SRR27291417,Locusta migratoria,Lmig,Adult_FatBody
SRR27309001,Locusta migratoria,Lmig,Larval_FatBody
SRR27309002,Locusta migratoria,Lmig,Adult_FatBody
SRR27309003,Locusta migratoria,Lmig,Adult_FatBody
SRR27309007,Locusta migratoria,Lmig,Larval_FatBody
SRR2913237,Locusta migratoria,Lmig,Adult_Testis
SRR2913249,Locusta migratoria,Lmig,Adult_Testis
SRR29922285,Locusta migratoria,Lmig,Adult_Brain
SRR29922286,Locusta migratoria,Lmig,Adult_Brain
SRR30807156,Locusta migratoria,Lmig,Adult_FatBody
SRR30807158,Locusta migratoria,Lmig,Adult_FatBody
SRR513208,Locusta migratoria,Lmig,Adult_FatBody
SRR513210,Locusta migratoria,Lmig,Adult_FatBody
SRR5580661,Locusta migratoria,Lmig,Adult_Brain
SRR5580664,Locusta migratoria,Lmig,Adult_Brain
SRR5580665,Locusta migratoria,Lmig,Adult_Brain
SRR5580668,Locusta migratoria,Lmig,Adult_Brain
SRR5580669,Locusta migratoria,Lmig,Adult_Brain
SRR5580670,Locusta migratoria,Lmig,Adult_Brain
SRR5580671,Locusta migratoria,Lmig,Adult_Brain
SRR5580672,Locusta migratoria,Lmig,Adult_Brain
SRR5754273,Locusta migratoria,Lmig,Adult_FatBody
SRR5754276,Locusta migratoria,Lmig,Adult_FatBody
SRR5754277,Locusta migratoria,Lmig,Adult_FatBody
SRR5966534,Locusta migratoria,Lmig,Adult_Brain
SRR5966981,Locusta migratoria,Lmig,Adult_Brain
SRR5966984,Locusta migratoria,Lmig,Adult_Brain
SRR5967009,Locusta migratoria,Lmig,Adult_Brain
SRR5967010,Locusta migratoria,Lmig,Adult_Brain
SRR5967011,Locusta migratoria,Lmig,Adult_Brain
SRR7164456,Locusta migratoria,Lmig,Adult_FatBody
SRR7164465,Locusta migratoria,Lmig,Adult_FatBody
SRR8945298,Locusta migratoria,Lmig,Adult_FatBody
SRR8945299,Locusta migratoria,Lmig,Adult_FatBody
SRR8945300,Locusta migratoria,Lmig,Larval_FatBody
SRR8945301,Locusta migratoria,Lmig,Larval_FatBody
SRR9898658,Locusta migratoria,Lmig,Adult_Brain
SRR9898659,Locusta migratoria,Lmig,Adult_Brain
SRR9898662,Locusta migratoria,Lmig,Adult_Brain
SRR9898663,Locusta migratoria,Lmig,Adult_Brain
SRR9898664,Locusta migratoria,Lmig,Adult_Brain
SRR9898665,Locusta migratoria,Lmig,Adult_Brain
SRR9898668,Locusta migratoria,Lmig,Adult_Brain
SRR9898670,Locusta migratoria,Lmig,Adult_Brain
SRR9898672,Locusta migratoria,Lmig,Adult_Brain
SRR9898674,Locusta migratoria,Lmig,Adult_Brain
SRR9898675,Locusta migratoria,Lmig,Adult_Brain
SRR9898678,Locusta migratoria,Lmig,Adult_Brain
SRR10345445,Helicoverpa armigera,Harm,Adult_Midgut
SRR10345446,Helicoverpa armigera,Harm,Adult_Midgut
SRR10345447,Helicoverpa armigera,Harm,Adult_Midgut
SRR10345448,Helicoverpa armigera,Harm,Adult_Midgut
SRR10345449,Helicoverpa armigera,Harm,Adult_Midgut
SRR10345450,Helicoverpa armigera,Harm,Adult_Midgut
SRR1141252,Helicoverpa armigera,Harm,Adult_FatBody
SRR1238087,Helicoverpa armigera,Harm,Adult_Head
SRR1239329,Helicoverpa armigera,Harm,Adult_FatBody
SRR1239331,Helicoverpa armigera,Harm,Adult_Head
SRR1239333,Helicoverpa armigera,Harm,Adult_Head
SRR1239334,Helicoverpa armigera,Harm,Adult_Head
SRR1239335,Helicoverpa armigera,Harm,Adult_Head
SRR13625112,Helicoverpa armigera,Harm,Adult_FatBody
SRR13625113,Helicoverpa armigera,Harm,Adult_FatBody
SRR13625114,Helicoverpa armigera,Harm,Adult_FatBody
SRR13625115,Helicoverpa armigera,Harm,Adult_FatBody
SRR13625118,Helicoverpa armigera,Harm,Adult_FatBody
SRR13625119,Helicoverpa armigera,Harm,Adult_FatBody
SRR14039088,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039089,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039090,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039091,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039092,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039093,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039094,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039095,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039096,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039097,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039098,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039099,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039100,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039101,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039102,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039103,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039104,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039105,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039106,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039107,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039108,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039109,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039110,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039111,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039112,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039113,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039114,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039115,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039116,Helicoverpa armigera,Harm,Adult_Hindgut
SRR14039117,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039118,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039119,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039120,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039121,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039122,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039123,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039124,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039125,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039126,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039127,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039128,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039129,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039130,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039131,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039132,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039133,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039134,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039135,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039136,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039137,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039138,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039139,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039140,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039141,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039142,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039143,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039144,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039145,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039146,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039147,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039148,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039149,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039150,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039151,Helicoverpa armigera,Harm,Adult_Carcass
SRR14039152,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039153,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039154,Helicoverpa armigera,Harm,Adult_Midgut
SRR14039155,Helicoverpa armigera,Harm,Adult_Midgut
SRR14141676,Helicoverpa armigera,Harm,Adult_Brain
SRR14141677,Helicoverpa armigera,Harm,Adult_Brain
SRR14141678,Helicoverpa armigera,Harm,Adult_MalpighianTubule
SRR14141679,Helicoverpa armigera,Harm,Adult_MalpighianTubule
SRR14141680,Helicoverpa armigera,Harm,Adult_MalpighianTubule
SRR14141681,Helicoverpa armigera,Harm,Adult_MalpighianTubule
SRR14141682,Helicoverpa armigera,Harm,Adult_Midgut
SRR14141683,Helicoverpa armigera,Harm,Adult_Midgut
SRR14141684,Helicoverpa armigera,Harm,Adult_Brain
SRR14141685,Helicoverpa armigera,Harm,Adult_Brain
SRR14141686,Helicoverpa armigera,Harm,Adult_Midgut
SRR14141687,Helicoverpa armigera,Harm,Adult_Midgut
SRR15320453,Helicoverpa armigera,Harm,Adult_Brain
SRR15320454,Helicoverpa armigera,Harm,Adult_Brain
SRR15320455,Helicoverpa armigera,Harm,Adult_Brain
SRR15320456,Helicoverpa armigera,Harm,Adult_Brain
SRR15320457,Helicoverpa armigera,Harm,Adult_Brain
SRR15320458,Helicoverpa armigera,Harm,Adult_Brain
SRR15320459,Helicoverpa armigera,Harm,Adult_Brain
SRR15320460,Helicoverpa armigera,Harm,Adult_Brain
SRR15320461,Helicoverpa armigera,Harm,Adult_Brain
SRR15320462,Helicoverpa armigera,Harm,Adult_Brain
SRR15320463,Helicoverpa armigera,Harm,Adult_Brain
SRR15320464,Helicoverpa armigera,Harm,Adult_Brain
SRR15320465,Helicoverpa armigera,Harm,Adult_Brain
SRR15320466,Helicoverpa armigera,Harm,Adult_Brain
SRR15320467,Helicoverpa armigera,Harm,Adult_Brain
SRR15320468,Helicoverpa armigera,Harm,Adult_Brain
SRR15320469,Helicoverpa armigera,Harm,Adult_Brain
SRR15320470,Helicoverpa armigera,Harm,Adult_Brain
SRR1582437,Helicoverpa armigera,Harm,Adult_Head
SRR1630741,Helicoverpa armigera,Harm,Adult_FatBody
SRR1630794,Helicoverpa armigera,Harm,Adult_FatBody
SRR1630796,Helicoverpa armigera,Harm,Adult_FatBody
SRR18251410,Helicoverpa armigera,Harm,Adult_Head
SRR18251411,Helicoverpa armigera,Harm,Adult_Head
SRR18251412,Helicoverpa armigera,Harm,Adult_Head
SRR18251413,Helicoverpa armigera,Harm,Adult_Head
SRR18251414,Helicoverpa armigera,Harm,Adult_Head
SRR18251415,Helicoverpa armigera,Harm,Adult_Head
SRR18251416,Helicoverpa armigera,Harm,Adult_Head
SRR18251417,Helicoverpa armigera,Harm,Adult_Head
SRR18251418,Helicoverpa armigera,Harm,Adult_Head
SRR18251419,Helicoverpa armigera,Harm,Adult_Head
SRR18251420,Helicoverpa armigera,Harm,Adult_Head
SRR18251421,Helicoverpa armigera,Harm,Adult_Head
SRR18788593,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788594,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788595,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788596,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788597,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788598,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788599,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788600,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788601,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788602,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788603,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788604,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788605,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788606,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788607,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788608,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788609,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788610,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788611,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788612,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788613,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788614,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788615,Helicoverpa armigera,Harm,Adult_Midgut
SRR18788616,Helicoverpa armigera,Harm,Adult_Midgut
SRR1980933,Helicoverpa armigera,Harm,Adult_Midgut
SRR1980934,Helicoverpa armigera,Harm,Adult_Midgut
SRR1980935,Helicoverpa armigera,Harm,Adult_Midgut
SRR1980937,Helicoverpa armigera,Harm,Adult_Midgut
SRR1980938,Helicoverpa armigera,Harm,Adult_Midgut
SRR1980940,Helicoverpa armigera,Harm,Adult_Midgut
SRR20962837,Helicoverpa armigera,Harm,Adult_Head
SRR20962838,Helicoverpa armigera,Harm,Adult_Head
SRR20962839,Helicoverpa armigera,Harm,Adult_Head
SRR20962846,Helicoverpa armigera,Harm,Adult_Head
SRR20962857,Helicoverpa armigera,Harm,Adult_Head
SRR20962858,Helicoverpa armigera,Harm,Adult_Head
SRR26875800,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875801,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875802,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875803,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875804,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875805,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875806,Helicoverpa armigera,Harm,Adult_Midgut
SRR26875807,Helicoverpa armigera,Harm,Adult_Midgut
SRR26895388,Helicoverpa armigera,Harm,Adult_Midgut
SRR26895389,Helicoverpa armigera,Harm,Adult_Midgut
SRR26895390,Helicoverpa armigera,Harm,Adult_Midgut
SRR26895391,Helicoverpa armigera,Harm,Adult_Midgut
SRR26895392,Helicoverpa armigera,Harm,Adult_Midgut
SRR26895393,Helicoverpa armigera,Harm,Adult_Midgut
SRR27472011,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472012,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472013,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472014,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472015,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472016,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472017,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472018,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472019,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472020,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472021,Helicoverpa armigera,Harm,Adult_FatBody
SRR27472022,Helicoverpa armigera,Harm,Adult_FatBody
SRR30427203,Helicoverpa armigera,Harm,Adult_FatBody
SRR30427204,Helicoverpa armigera,Harm,Adult_FatBody
SRR30427205,Helicoverpa armigera,Harm,Adult_FatBody
SRR30427206,Helicoverpa armigera,Harm,Adult_FatBody
SRR30427207,Helicoverpa armigera,Harm,Adult_FatBody
SRR30427208,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180635,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180636,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180637,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180638,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180639,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180640,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180641,Helicoverpa armigera,Harm,Adult_FatBody
SRR3180642,Helicoverpa armigera,Harm,Adult_FatBody
SRR36440755,Helicoverpa armigera,Harm,Adult_FatBody
SRR36440756,Helicoverpa armigera,Harm,Adult_FatBody
SRR36440757,Helicoverpa armigera,Harm,Adult_FatBody
SRR5631167,Helicoverpa armigera,Harm,Adult_Midgut
SRR5631168,Helicoverpa armigera,Harm,Adult_Midgut
SRR5631169,Helicoverpa armigera,Harm,Adult_Midgut
SRR5631170,Helicoverpa armigera,Harm,Adult_Midgut
SRR5631171,Helicoverpa armigera,Harm,Adult_Midgut
SRR5631172,Helicoverpa armigera,Harm,Adult_Midgut
SRR6507321,Helicoverpa armigera,Harm,Adult_Head
SRR6507322,Helicoverpa armigera,Harm,Adult_Head
SRR6507323,Helicoverpa armigera,Harm,Adult_Midgut
SRR6507324,Helicoverpa armigera,Harm,Adult_Midgut
